date,regime,mode,total_cost_USD,energy_adjusted_cost_USD,operating_cost_USD,DR_cost_USD,wear_cost_USD,battery_wear,converter_wear,Tj_peak_C,Tj_RMSE_C,FEC,thermal_exceedance_hours,DR_shortfall_kWh,terminal_SOC,terminal_correction_USD,solver_p95_seconds,max_rainflow_gap_USD,seeds,numerical_pass_seeds,terminal_service_seeds
2017-02-01,ordinary,waveform,246.3489078952506,246.3489078952506,240.00530453794792,0.0,6.343603357302683,0.00012674211831651484,2.1658138256469673e-07,56.241738690516385,0.19527154785201656,1.197489341241245,0.0,0.0,0.5,0.0,0.025186550003127195,2.239138785498085e-07,2,2,2
2017-03-01,heatwave_dr,economic,163.28528417263558,163.28528417263558,154.27927696713954,0.0,9.006007205496042,0.00017971774195805858,6.706702531038009e-07,74.45705847892869,0.6375546296141339,1.4849292389125124,0.0,0.0,0.5,0.0,0.010325162515073316,0.0,2,2,2
2017-03-01,heatwave_dr,full,161.096543526905,161.096543526905,153.73284591369378,0.0,7.363697613211226,0.0001468749085228551,6.650729022823934e-07,74.41672217569925,0.5179339039354658,1.319503193262221,0.0,0.0,0.5,0.0,0.06512910001038108,6.844396826544141e-05,2,2,2
2017-03-01,heatwave_dr,full_mean,161.096543526905,161.096543526905,153.73284591369378,0.0,7.363697613211226,0.0001468749085228551,6.650729022823934e-07,74.41672217569925,0.06574368072573074,1.319503193262221,0.0,0.0,0.5,0.0,0.05743255000197678,6.844396826544141e-05,2,2,2
2017-03-01,heatwave_dr,infrared,161.08506570203554,161.08506570203554,153.7217942512881,0.0,7.363271450747434,0.0001468718990037009,6.558833520796023e-07,74.40848049652857,0.5631891666809504,1.3194863939078298,0.0,0.0,0.5,0.0,0.06306717500410741,6.835929903381555e-05,2,2,2
2017-03-01,heatwave_dr,oracle,161.09734545509994,161.09734545509994,153.73365538919063,0.0,7.363690065909309,0.00014687495523260164,6.647434759742286e-07,74.4126940130789,0.0,1.319503453996787,0.0,0.0,0.5,0.0,0.06443547500748537,6.844528290139706e-05,2,2,2
2017-03-01,heatwave_dr,rainflow,161.11557761957792,161.11557761957792,153.75004640469922,0.0,7.365531214878696,0.00014687136815014036,7.320935790559395e-07,74.77318185367791,0.5621084075488281,1.319483430605199,0.0,0.0,0.5,0.0,0.06468250000034459,5.559199862625874e-05,2,2,2
2017-03-01,heatwave_dr,scalar,161.08506570203554,161.08506570203554,153.7217942512881,0.0,7.363271450747434,0.0001468718990037009,6.558833520796023e-07,74.40848049652857,0.5019594176870086,1.3194863939078298,0.0,0.0,0.5,0.0,0.0532767874901765,6.835929903381555e-05,2,2,2
2017-03-01,heatwave_dr,waveform,161.096543526905,161.096543526905,153.73284591369378,0.0,7.363697613211226,0.0001468749085228551,6.650729022823934e-07,74.41672217569925,0.19330118664221985,1.319503193262221,0.0,0.0,0.5,0.0,0.0645632999985537,6.844396826544141e-05,2,2,2
2017-03-01,ordinary,economic,163.27732363751787,163.27732363751787,154.27597926336674,0.0,9.001344374151136,0.00017971774195805858,5.152425416069332e-07,64.45705847892869,0.6194172073762522,1.4849292389125122,0.0,0.0,0.5,0.0,0.01023503750548116,0.0,2,2,2
2017-03-01,ordinary,full,161.1032998605255,161.1032998605255,153.7442247083598,0.0,7.359075152165717,0.0001468749085228551,5.109908674320686e-07,64.41672217569925,0.5170677623949689,1.319503193262221,0.0,0.0,0.5,0.0,0.07165412500035018,5.84347470209412e-05,2,2,2
2017-03-01,ordinary,full_mean,161.1032998605255,161.1032998605255,153.7442247083598,0.0,7.359075152165717,0.0001468749085228551,5.109908674320686e-07,64.41672217569925,0.0658770894593988,1.319503193262221,0.0,0.0,0.5,0.0,0.05100118750488036,5.84347470209412e-05,2,2,2
2017-03-01,ordinary,infrared,161.0935747834187,161.0935747834187,153.73466649850457,0.0,7.358908284914128,0.0001468718990037009,5.104444909694335e-07,64.40848049652857,0.5618266675657246,1.31948639390783,0.0,0.0,0.5,0.0,0.058696324998891214,5.914934239070746e-05,2,2,2
2017-03-01,ordinary,oracle,161.10410390918344,161.10410390918344,153.74503412476804,0.0,7.359069784415405,0.00014687495523260164,5.107340928441117e-07,64.4126940130789,0.0,1.319503453996787,0.0,0.0,0.5,0.0,0.07167988750006771,5.842368622088756e-05,2,2,2
2017-03-01,ordinary,rainflow,161.11058555729718,161.11058555729718,153.7505344847852,0.0,7.36005107251199,0.00014687136815014036,5.494221668323992e-07,64.77318185367791,0.5740898865449282,1.319483430605199,0.0,0.0,0.5,0.0,0.06177412498436752,5.559199862625874e-05,2,2,2
2017-03-01,ordinary,scalar,161.0935747834187,161.0935747834187,153.73466649850457,0.0,7.358908284914128,0.0001468718990037009,5.104444909694335e-07,64.40848049652857,0.48844763340396447,1.31948639390783,0.0,0.0,0.5,0.0,0.05811584999537445,5.914934239070746e-05,2,2,2
2017-03-01,ordinary,waveform,161.1032998605255,161.1032998605255,153.7442247083598,0.0,7.359075152165717,0.0001468749085228551,5.109908674320686e-07,64.41672217569925,0.19277247028366123,1.319503193262221,0.0,0.0,0.5,0.0,0.055246762502065394,5.84347470209412e-05,2,2,2
2017-04-01,heatwave_dr,economic,19.827065443183795,19.827065443183795,16.916990599966176,0.0,2.910074843217618,5.697731858514214e-05,2.0402971320170113e-06,83.27661134217665,0.3786405125173815,0.7034142013642575,0.0,0.0,0.5,0.0,0.009789287505554967,0.0,2,2,2
2017-04-01,heatwave_dr,full,18.674567913581125,18.674567913581125,15.984419215126088,0.0,2.6901486984550376,5.328704380115668e-05,8.598836132401097e-07,79.0385855879529,0.5184279813532262,0.6791595866312758,0.0,0.0,0.5,0.0,0.08547495001039351,9.575715653395434e-05,2,2,2
2017-04-01,heatwave_dr,full_mean,18.680598884657186,18.680598884657186,15.992012614717215,0.0,2.688586269939973,5.3256483127495495e-05,8.587371188399495e-07,79.02787273865907,0.05914737190134074,0.679159586631276,0.0,0.0,0.5,0.0,0.08674547499322216,9.714628509639722e-05,2,2,2
2017-04-01,heatwave_dr,infrared,18.632436681407953,18.632436681407953,15.933358290579028,0.0,2.699078390828927,5.3460608406963e-05,8.682656826925767e-07,79.11475890100607,0.5313718970840278,0.6790141578392319,0.0,0.0,0.5,0.0,0.07352329999412177,9.914391877030582e-05,2,2,2
2017-04-01,heatwave_dr,oracle,18.68057547162543,18.68057547162543,15.991996065683349,0.0,2.688579405942084,5.325658460359138e-05,8.583391920838376e-07,79.0242383334817,0.0,0.6791601167347769,0.0,0.0,0.5,0.0,0.08849370000098133,9.553262885128588e-05,2,2,2
2017-04-01,heatwave_dr,rainflow,18.176534768315037,18.176534768315037,15.47321819860256,0.0,2.7033165697124786,5.3667119206519655e-05,6.653536462165173e-07,77.00393694192387,0.28222621008015136,0.7024052393963852,0.0,0.0,0.5,0.0,0.06615516249803477,7.376570861400422e-05,2,2,2
2017-04-01,heatwave_dr,scalar,18.632463710529777,18.632463710529777,15.933381996676104,0.0,2.6990817138536727,5.3460581284751005e-05,8.684216538707488e-07,79.11474929628001,0.2846816467603644,0.6790141578392319,0.0,0.0,0.5,0.0,0.08585853751355899,9.91393839248067e-05,2,2,2
2017-04-01,heatwave_dr,waveform,18.668671034489705,18.668671034489705,15.976994712802558,0.0,2.691676321687149,5.3316923300120145e-05,8.610052227047301e-07,79.04906056461834,0.19159656825603777,0.6791595866312758,0.0,0.0,0.5,0.0,0.09388600000238512,9.479900527821494e-05,2,2,2
2017-04-01,ordinary,economic,19.81352607934668,19.81352607934668,16.916990599966176,0.0,2.896535479380503,5.697731858514214e-05,1.5889850041131896e-06,73.27661134217664,0.37864051251738284,0.7034142013642575,0.0,0.0,0.5,0.0,0.00943403750352445,0.0,2,2,2
2017-04-01,ordinary,full,18.672873649368142,18.672873649368142,15.989411481321532,0.0,2.683462168046608,5.3267773692845024e-05,6.691161134785537e-07,69.03181947033703,0.5184299192473747,0.6791595866312758,0.0,0.0,0.5,0.0,0.0810929000035685,9.689434951040687e-05,2,2,2
2017-04-01,ordinary,full_mean,18.672873634255254,18.672873634255254,15.989411466214797,0.0,2.683462168040456,5.326777369284501e-05,6.691161132735036e-07,69.03181947033703,0.05915818782050773,0.6791595866312757,0.0,0.0,0.5,0.0,0.08599711250280961,9.689434951040687e-05,2,2,2
2017-04-01,ordinary,infrared,18.641614040194092,18.641614040194092,15.95216724025548,0.0,2.689446799938612,5.338465959474986e-05,6.73794006703967e-07,69.08766237882858,0.5314685620054247,0.6790141578392319,0.0,0.0,0.5,0.0,0.08538857500025188,9.189842205792331e-05,2,2,2
2017-04-01,ordinary,oracle,18.672900230748084,18.672900230748084,15.989454435512803,0.0,2.683445795235282,5.326763641476411e-05,6.687991499025369e-07,69.02810163017037,0.0,0.679160116734777,0.0,0.0,0.5,0.0,0.08494268749564071,9.6801418684761e-05,2,2,2
2017-04-01,ordinary,rainflow,18.172119497149325,18.172119497149325,15.473218198602558,0.0,2.698901298546768,5.366711920651966e-05,5.181779406928395e-07,67.00393694192388,0.28222621008015114,0.7024052393963851,0.0,0.0,0.5,0.0,0.07666135000181384,7.376570861400422e-05,2,2,2
2017-04-01,ordinary,scalar,18.641612223251578,18.641612223251578,15.952165424018151,0.0,2.689446799233427,5.338465959474986e-05,6.737939831978126e-07,69.08766237882858,0.2846366932804709,0.6790141578392319,0.0,0.0,0.5,0.0,0.09065247500257101,9.189842205792331e-05,2,2,2
2017-04-01,ordinary,waveform,18.672871824824423,18.672871824824423,15.989409657514749,0.0,2.683462167309675,5.3267773692845024e-05,6.69116088914134e-07,69.03181947033703,0.19160517480405362,0.6791595866312758,0.0,0.0,0.5,0.0,0.08276473749720026,9.689434951040687e-05,2,2,2
2017-05-01,heatwave_dr,economic,69.80272530268502,69.80272530268502,65.65475072209671,0.0,4.147974580588318,8.150699408858412e-05,2.4208292053037644e-06,90.7049439269532,0.4768273181314977,0.84359863062697,0.0,0.0,0.5,0.0,0.009858687499217922,0.0,2,2,2
2017-05-01,heatwave_dr,full,66.97054321533565,66.97054321533565,63.25284137956005,0.0,3.71770183577559,7.340156245833724e-05,1.5874570952909075e-06,87.25039695963724,0.515798039798682,0.8531014095324834,0.0,0.0,0.5,0.0,0.07889542500197422,9.657787488626113e-05,2,2,2
2017-05-01,heatwave_dr,full_mean,66.97054971128712,66.97054971128712,63.25283760251928,0.0,3.7177121087678495,7.340156245833724e-05,1.5877995283662302e-06,87.25225687377309,0.06293389201355164,0.8531014095324834,0.0,0.0,0.5,0.0,0.10226779999720748,9.657787488626113e-05,2,2,2
2017-05-01,heatwave_dr,infrared,66.95286173890302,66.95286173890302,63.2413485725058,0.0,3.7115131663972196,7.328874007311047e-05,1.5692054247232153e-06,87.14945463027505,0.5571248549457588,0.8522867896050935,0.0,0.0,0.5,0.0,0.10595101249418803,9.614360463425231e-05,2,2,2
