date,regime,comparator,n_seeds_per_mode,full_cost_USD,comparator_cost_USD,both_numerical_pass,total_cost_USD_delta_full_minus_comparator,energy_adjusted_cost_USD_delta_full_minus_comparator,operating_cost_USD_delta_full_minus_comparator,DR_cost_USD_delta_full_minus_comparator,wear_cost_USD_delta_full_minus_comparator,battery_wear_delta_full_minus_comparator,converter_wear_delta_full_minus_comparator,Tj_peak_C_delta_full_minus_comparator,Tj_RMSE_C_delta_full_minus_comparator,FEC_delta_full_minus_comparator,thermal_exceedance_hours_delta_full_minus_comparator,DR_shortfall_kWh_delta_full_minus_comparator,terminal_SOC_delta_full_minus_comparator,terminal_correction_USD_delta_full_minus_comparator,solver_p95_seconds_delta_full_minus_comparator,max_rainflow_gap_USD_delta_full_minus_comparator,sensing_saving_USD_per_day
2017-03-01,heatwave_dr,rainflow,2,161.096543526905,161.11557761957792,True,-0.019034092672910674,-0.019034092672910674,-0.017200491005439744,0.0,-0.0018336016674700417,3.540372714747964e-09,-6.702067677354605e-08,-0.3564596779786626,-0.04417450361336228,1.976265702197111e-05,0.0,0.0,0.0,0.0,0.00044660001003649086,1.285196963918267e-05,0.019034092672910674
2017-04-01,heatwave_dr,rainflow,2,18.674567913581125,18.176534768315037,True,0.49803314526608844,0.49803314526608844,0.511201016523529,0.0,-0.01316787125744101,-3.800754053629769e-07,1.9452996702359238e-07,2.0346486460290265,0.23620177127307485,-0.02324565276510937,0.0,0.0,0.0,0.0,0.019319787512358744,2.1991447919950113e-05,-0.49803314526608844
2017-05-01,heatwave_dr,rainflow,2,66.97054321533565,67.40016559297814,True,-0.4296223776424881,-0.4296223776424881,-0.34101800397178295,0.0,-0.08860437367071627,-1.3457994896959308e-06,-7.104799728640045e-07,-2.9810857791478895,0.04865977353957762,0.009502778905513432,0.0,0.0,0.0,0.0,0.012380600004689768,2.719280463137075e-06,0.4296223776424881
2017-06-01,heatwave_dr,rainflow,2,-7.570797829260128,-7.635196976317231,True,0.06439914705710326,0.06439914705710326,0.07639121380580427,0.0,-0.01199206674870068,-2.3979734174235683e-07,-7.33220527613714e-11,-7.182295394159155e-05,0.32287172418880966,0.00015644084984867135,0.0,0.0,0.0,0.0,0.019417925002926495,-2.2751648198759966e-06,-0.06439914705710326
2017-07-01,heatwave_dr,rainflow,2,0.7145124782287042,1.7275038476801703,True,-1.012991369451466,-1.012991369451466,-0.9214526309898474,0.0,-0.09153873846161864,-1.8278609182915257e-06,-4.856418234748784e-09,0.018059065023336984,0.2188030183063312,-0.01894865641293425,0.0,0.0,0.0,0.0,0.017550562501128297,6.427418558205278e-06,1.012991369451466
2017-08-01,heatwave_dr,rainflow,2,20.012095880062255,20.673918126997062,True,-0.6618222469348076,-0.6618222469348076,-0.4455430543567367,0.0,-0.2162791925780696,-4.2060914594809325e-06,-1.9915398680076535e-07,-3.643481460716245,0.16874668489415467,-0.0466188213071953,0.0,0.0,0.0,0.0,0.009772512519703014,7.376897144584227e-06,0.6618222469348076
2017-09-01,heatwave_dr,rainflow,2,28.76318616430656,29.53353456920498,True,-0.7703484048984208,-0.7703484048984208,-0.750497851110957,0.0,-0.019850553787463365,-7.557129512025801e-07,5.978364590888416e-07,10.045215854294256,0.22368265814782956,-0.01883146178545969,0.0,0.0,0.0,0.0,0.0353895375119464,-3.3723705352928235e-05,0.7703484048984208
2017-10-01,heatwave_dr,rainflow,2,31.46266171840223,31.46785302290764,True,-0.005191304505409278,-0.005191304505409278,-0.0026289595003845534,0.0,-0.0025623450050251684,-2.6151800982844857e-08,-4.182516519609986e-08,-0.6068439358749487,0.02120461168535881,0.00010864628076123761,0.0,0.0,0.0,0.0,0.00845524999749614,6.5095642496348916e-06,0.005191304505409278
2017-11-01,heatwave_dr,rainflow,2,178.39790388206762,175.17771436356753,True,3.220189518500092,3.220189518500092,3.386246388906926,0.0,-0.16605687040681882,-3.3460537605569784e-06,4.152725403433884e-08,1.2317058534624366,-0.10259518599932893,-0.07662202854687794,0.0,0.0,0.0,0.0,-0.04927006249636179,-4.7395619405032896e-05,-3.220189518500092
2017-12-01,heatwave_dr,rainflow,2,265.76384808834564,266.13493327124326,True,-0.37108518289761605,-0.37108518289761605,-0.10241338497769448,0.0,-0.2686717979198958,-5.365296341369345e-06,-1.3566028380945285e-08,-1.6433477007548234,0.05785011969767562,-0.03718428466834767,0.0,0.0,0.0,0.0,0.005536437496630242,-8.379069425368257e-05,0.37108518289761605
