setting,date,mode,total_cost_USD,Tj_RMSE_C,Tj_peak_C,DR_shortfall_kWh,battery_wear,converter_wear,thermal_exceedance_hours
battery_400,2017-07-01,waveform,14.769682877459786,0.19437213354474644,101.03696796765158,0.0,3.1952841176989915e-05,4.541222162845153e-06,0.0
battery_400,2017-10-01,full,30.108114015325683,0.5182344407897036,73.38568460012279,0.0,1.8729448313520733e-05,6.236239938442705e-07,0.0
battery_400,2017-10-01,full_mean,30.108113907850424,0.06159036369987505,73.3856577496936,0.0,1.8729448313520733e-05,6.236219516658642e-07,0.0
battery_400,2017-10-01,scalar,30.11518864647795,0.49720483918933855,73.38016024327882,0.0,1.872363825590821e-05,6.240071197723709e-07,0.0
battery_400,2017-10-01,waveform,30.108101167405895,0.19438306430364116,73.38249086940647,0.0,1.8729448313520733e-05,6.233797846348236e-07,0.0
cooling_120,2017-01-01,full,254.02847548694984,0.7683769341822054,63.604764355626465,0.00086734519860695,0.0001272328962306,2.0754092563183945e-07,0.0
cooling_120,2017-01-01,full_mean,254.02847548694984,0.9739279759056748,63.604764355626465,0.00086734519860695,0.0001272328962306,2.0754092563183945e-07,0.0
cooling_120,2017-01-01,scalar,254.03348385253912,1.6620278191823405,63.48285081243963,0.0030267542325734,0.0001272328962306,2.038082727521831e-07,0.0
cooling_120,2017-01-01,waveform,254.02847548694984,1.310511884544998,63.604764355626465,0.00086734519860695,0.0001272328962306,2.0754092563183945e-07,0.0
cooling_120,2017-04-01,full,18.688307512711695,0.6553250465479867,83.82518662258892,0.0,5.330310341446262e-05,1.4243496155157513e-06,0.0
cooling_120,2017-04-01,full_mean,18.688432073490706,0.7235286372652384,83.82484170766541,0.0,5.330246425338092e-05,1.424292354080263e-06,0.0
cooling_120,2017-04-01,scalar,18.662840115492564,1.1108716962675271,83.89141638330275,0.0,5.339203622248926e-05,1.4358719537445414e-06,0.0
cooling_120,2017-04-01,waveform,18.68412670910221,0.9749131783419616,83.83670679354076,0.0,5.3324490145802736e-05,1.42626025317632e-06,0.0
cooling_120,2017-07-01,full,0.715608812651611,0.6022965380751466,72.35437566257384,0.0,2.928459262403644e-05,1.2065947461257438e-07,0.0
