date,mode,regime,seed,overrides,operating_cost_USD,DR_cost_USD,battery_wear,converter_wear,wear_cost_USD,terminal_correction_USD,total_cost_USD,energy_adjusted_cost_USD,terminal_SOC,terminal_SOC_error,trip,thermal_exceedance_hours,DR_shortfall_kWh,Tj_RMSE_C,Tj_peak_C,FEC,solver_p95_seconds,max_rainflow_gap_USD,solver_status_counts,numerical_gate,terminal_service_met,elapsed_seconds,cooling,solver_fallback_intervals,cut_limit_intervals,latched_trip_intervals
2017-04-01,full,heatwave_dr,41,{'cooling': 1.2},15.974989980684555,0.0,5.332482778794295e-05,1.4260019150443333e-06,2.7090214468484772,0.0,18.684011427533033,18.684011427533033,0.5,0.0,0,0.0,0.0,0.6316648114427769,83.83519581130719,0.6791696820651976,0.06648807500459952,9.388940910515231e-05,{'optimal': 96},PASS,True,2.544925299996976,1.2,0,0,0
2017-04-01,full_mean,heatwave_dr,41,{'cooling': 1.2},15.975255540078281,0.0,5.332375619151014e-05,1.4259057909677212e-06,2.7089649833045386,0.0,18.68422052338282,18.68422052338282,0.5,0.0,0,0.0,0.0,0.7255978287758557,83.83461706040299,0.6791696820651977,0.06124974999693222,9.562198989446213e-05,{'optimal': 96},PASS,True,2.5401241999934427,1.2,0,0,0
2017-04-01,rainflow,heatwave_dr,41,{'cooling': 1.2},15.47321819860256,0.0,5.3667119206519655e-05,1.0313643174889646e-06,2.714296889850652,0.0,18.18751508845321,18.18751508845321,0.5,0.0,0,0.0,0.0,1.078158803690739,81.10950988716083,0.7024052393963852,0.056833724993339274,7.376570861400422e-05,{'optimal': 96},PASS,True,2.176769300014712,1.2,0,0,0
2017-04-01,scalar,heatwave_dr,41,{'cooling': 1.2},15.956055705968025,0.0,5.336797872606782e-05,1.4331653274230472e-06,2.7113938961260824,0.0,18.667449602094106,18.667449602094106,0.5,0.0,0,0.0,0.0,1.1088581202322074,83.87829533032283,0.6790141578392319,0.06347582500166027,9.166711028005259e-05,{'optimal': 96},PASS,True,2.8002190999977756,1.2,0,0,0
2017-04-01,waveform,heatwave_dr,41,{'cooling': 1.2},15.974956048488666,0.0,5.3324959609238134e-05,1.426013716675738e-06,2.7090283919621787,0.0,18.683984440450846,18.683984440450846,0.5,0.0,0,0.0,0.0,0.97506250572146,83.83526701062354,0.6791696820651976,0.08707462499296525,9.388766809248494e-05,{'optimal': 96},PASS,True,2.814611200010404,1.2,0,0,0
2017-07-01,economic,heatwave_dr,41,{'cooling': 1.2},0.17680225431948626,0.0,3.1180583387428545e-05,1.0516896616906132e-07,1.5621842383564992,0.0,1.7389864926759855,1.7389864926759855,0.5,0.0,0,0.0,0.0,0.8212940673668178,71.29903477991579,0.419575132022816,0.009241000007023104,0.0,{'optimal': 96},PASS,True,0.6129537999804597,1.2,0,0,0
2017-07-01,full,heatwave_dr,41,{'cooling': 1.2},-0.7527094038486037,0.0,2.9283556546687148e-05,1.2052011546708104e-07,1.4677934307983698,0.0,0.715084026949766,0.715084026949766,0.5,0.0,0,0.0,0.0,0.5914883689250514,72.35649427788915,0.39633459786811637,0.08638920000521466,9.031312517482348e-05,{'optimal': 96},PASS,True,2.721210500021698,1.2,0,0,0
2017-07-01,full_mean,heatwave_dr,41,{'cooling': 1.2},-0.7527094191452455,0.0,2.9283556458065675e-05,1.20520114495325e-07,1.4677934263381436,0.0,0.7150840071928981,0.7150840071928981,0.5,0.0,0,0.0,0.0,0.523219368342067,72.35649423254638,0.39633459185550907,0.08948607499769423,9.031360148697987e-05,{'optimal': 96},PASS,True,2.5574644000153057,1.2,0,0,0
2017-07-01,rainflow,heatwave_dr,41,{'cooling': 1.2},0.1692011467437804,0.0,3.111239027737335e-05,1.236326053941026e-07,1.5593284920304906,0.0,1.728529638774271,1.728529638774271,0.5,0.0,0,0.0,0.0,0.8422142263249288,72.1147651899513,0.4152831466705703,0.0677546000079019,8.442808477324149e-05,{'optimal': 96},PASS,True,1.7374516999989282,1.2,0,0,0
2017-07-01,scalar,heatwave_dr,41,{'cooling': 1.2},-0.7641527945511806,0.0,2.925910095746502e-05,1.220925958533566e-07,1.4666178257488516,0.0,0.702465031197671,0.702465031197671,0.5,0.0,0,0.0,0.0,0.8243413206882094,72.35267506239146,0.39572255621890423,0.09562542499770643,6.334813405101114e-05,{'optimal': 96},PASS,True,2.8448485999833792,1.2,0,0,0
2017-07-01,waveform,heatwave_dr,41,{'cooling': 1.2},-0.7527093947788916,0.0,2.9283556596418177e-05,1.2052011794947478e-07,1.4677934333593932,0.0,0.7150840385805015,0.7150840385805015,0.5,0.0,0,0.0,0.0,0.7284665326037247,72.35649439232591,0.3963346012421642,0.07781022501148982,9.031285788718701e-05,{'optimal': 96},PASS,True,2.445569200004684,1.2,0,0,0
2017-10-01,economic,heatwave_dr,41,{'cooling': 1.2},27.886063374154993,0.0,6.312489908359001e-05,4.0698383816916335e-06,3.2783401056302495,0.0,31.164403479785243,31.164403479785243,0.5,0.0,0,0.0,0.0,1.3156960888858258,90.99957352462374,0.7162948435697123,0.006763574994693045,0.0,{'optimal': 96},PASS,True,0.6026954999833833,1.2,0,0,0
2017-10-01,full,heatwave_dr,41,{'cooling': 1.2},28.522212942014146,0.0,5.8551430443812954e-05,6.33191851987114e-07,2.946567277750261,0.0,31.468780219764408,31.468780219764408,0.5,0.0,0,0.0,0.0,0.663958160957532,73.8061435443299,0.6940134224383899,0.050054649997036904,8.839138791305601e-05,{'optimal': 96},PASS,True,2.0915167999919504,1.2,0,0,0
2017-10-01,full_mean,heatwave_dr,41,{'cooling': 1.2},28.52221337595006,0.0,5.85514403765916e-05,6.332098223548062e-07,2.9465683135002245,0.0,31.468781689450285,31.468781689450285,0.5,0.0,0,0.0,0.0,0.7417822094995363,73.8063850301313,0.69401342243839,0.056095499989169184,8.838879407280231e-05,{'optimal': 96},PASS,True,2.2538761999749113,1.2,0,0,0
2017-10-01,rainflow,heatwave_dr,41,{'cooling': 1.2},28.522430884418576,0.0,5.8588832820493905e-05,6.821167439684225e-07,2.9499051433437478,0.0,31.472336027762324,31.472336027762324,0.5,0.0,0,0.0,0.0,1.2760591733817115,74.44229829302854,0.6939716431349797,0.04623132500273641,8.185221479894977e-05,{'optimal': 96},PASS,True,1.8652378999977373,1.2,0,0,0
2017-10-01,scalar,heatwave_dr,41,{'cooling': 1.2},28.520895451248627,0.0,5.856236516813124e-05,6.344206654646248e-07,2.9471508783705005,0.0,31.468046329619128,31.468046329619128,0.5,0.0,0,0.0,0.0,1.269930944035856,73.79926308678486,0.6939711619265421,0.04539889999432489,9.187151529399529e-05,{'optimal': 96},PASS,True,2.047787999996217,1.2,0,0,0
2017-10-01,waveform,heatwave_dr,41,{'cooling': 1.2},28.522209124099362,0.0,5.8551343048394754e-05,6.330337598092018e-07,2.9465581652140136,0.0,31.468767289313377,31.468767289313377,0.5,0.0,0,0.0,0.0,1.0089363343369013,73.80401881604688,0.69401342243839,0.04893320000701351,8.841421203564792e-05,{'optimal': 96},PASS,True,2.225502500019502,1.2,0,0,0
2017-01-01,economic,heatwave_dr,41,{'cooling': 1.4},247.7636433960956,0.0,0.00013235435481994285,3.4425669066491514e-07,6.62804544171709,0.0,254.3916888378127,254.3916888378127,0.5,0.0,0,0.0,0.0,3.056780599397803,68.83104813710285,1.2333624256210467,0.009727649987326004,0.0,{'optimal': 96},PASS,True,0.6927999000181444,1.4,0,0,0
2017-01-01,full,heatwave_dr,41,{'cooling': 1.4},247.65864155139693,0.0014728148061884383,0.00012723289623068937,3.749554801633687e-07,6.372893475939369,0.0,254.0330078421425,254.0330078421425,0.5,0.0,0,0.0,0.0007364074030942191,1.2069185409928043,68.39629273547501,1.2000000000000002,0.020713649995741434,6.8986616303945425e-06,{'optimal': 96},PASS,True,1.4477165000280365,1.4,0,0,0
2017-01-01,full_mean,heatwave_dr,41,{'cooling': 1.4},247.65864155139693,0.0014728148061884383,0.00012723289623068937,3.749554801633687e-07,6.372893475939369,0.0,254.0330078421425,254.0330078421425,0.5,0.0,0,0.0,0.0007364074030942191,1.9216063267771544,68.39629273547501,1.2000000000000002,0.021223149997240398,6.8986616303945425e-06,{'optimal': 96},PASS,True,1.556895399990026,1.4,0,0,0
2017-01-01,rainflow,heatwave_dr,41,{'cooling': 1.4},247.65168078625663,0.0,0.00012723296139602628,3.4222823937321413e-07,6.371914916982511,0.0,254.02359570323915,254.02359570323915,0.5,0.0,0,0.0,0.0,2.999812093303543,68.80753195736041,1.200000436794151,0.01666537499113474,5.6791766147590295e-05,{'optimal': 96},PASS,True,1.2380444000009447,1.4,0,0,0
2017-01-01,scalar,heatwave_dr,41,{'cooling': 1.4},247.65967128435693,0.006053508465146962,0.00012723289623068937,3.6797731968026736e-07,6.372684131124876,0.0,254.03840892394697,254.03840892394697,0.5,0.0,0,0.0,0.003026754232573481,2.897532027668361,68.25661022696973,1.2,0.02043080001749331,7.442217309971966e-06,{'optimal': 96},PASS,True,1.411113700014539,1.4,0,0,0
2017-01-01,waveform,heatwave_dr,41,{'cooling': 1.4},247.65864155139693,0.0014728148061884383,0.00012723289623068937,3.749554801633687e-07,6.372893475939369,0.0,254.0330078421425,254.0330078421425,0.5,0.0,0,0.0,0.0007364074030942191,2.5735745700689514,68.39629273547501,1.2000000000000002,0.021885274989472236,6.8986616303945425e-06,{'optimal': 96},PASS,True,1.8277888000011444,1.4,0,0,0
