date,mode,regime,seed,overrides,operating_cost_USD,DR_cost_USD,battery_wear,converter_wear,wear_cost_USD,terminal_correction_USD,total_cost_USD,energy_adjusted_cost_USD,terminal_SOC,terminal_SOC_error,trip,thermal_exceedance_hours,DR_shortfall_kWh,Tj_RMSE_C,Tj_peak_C,FEC,solver_p95_seconds,max_rainflow_gap_USD,solver_status_counts,numerical_gate,terminal_service_met,elapsed_seconds
2017-01-01,waveform,ordinary,41,{},247.65284970583696,0.0,0.00012723289623068937,8.689328914975693e-08,6.364251610208961,0.0,254.0171013160459,254.0171013160459,0.5,0.0,0,0.0,0.0,0.1859074346471216,48.703031672848994,1.2000000000000002,0.022241150007175747,8.881784197001252e-16,{'optimal': 96},PASS,True,1.6795021999860182
2017-01-01,waveform,heatwave_dr,41,{},247.65864155139693,0.0014728148061884383,0.00012723289623068937,1.1186102388178253e-07,6.365000642250922,0.0,254.02511500845404,254.02511500845404,0.5,0.0,0,0.0,0.0007364074030942191,0.18598215701758367,58.714278739195464,1.2000000000000002,0.02191869999660412,6.8986616303945425e-06,{'optimal': 96},PASS,True,1.8728830999752972
2017-01-01,waveform,heatwave_dr,73,{},247.6590979631015,0.001996565988239496,0.00012723289623068937,1.1170584749045739e-07,6.3649959869591815,0.0,254.0260905160489,254.0260905160489,0.5,0.0,0,0.0,0.000998282994119748,0.20529002820681563,58.70667234701428,1.2,0.021964675004710443,6.81963011839315e-06,{'optimal': 96},PASS,True,1.8767417999915779
2017-01-01,infrared,ordinary,41,{},247.65510856912906,0.0,0.00012723289623068937,8.526612063265975e-08,6.364202795153448,0.0,254.01931136428252,254.01931136428252,0.5,0.0,0,0.0,0.0,0.5783093676328156,48.589641608728186,1.2,0.01993547500751447,8.881784197001252e-16,{'optimal': 96},PASS,True,1.3577243000036106
2017-01-01,infrared,ordinary,73,{},247.65510856912906,0.0,0.00012723289623068937,8.526612063265974e-08,6.364202795153448,0.0,254.01931136428252,254.01931136428252,0.5,0.0,0,0.0,0.0,0.5854966739548887,48.589641608728186,1.2,0.020179825005470775,8.881784197001252e-16,{'optimal': 96},PASS,True,1.4507035000133328
2017-01-01,infrared,heatwave_dr,73,{},247.65967128435693,0.006053508465146962,0.00012723289623068937,1.0973337715123311e-07,6.364936812849005,0.0,254.0306616056711,254.0306616056711,0.5,0.0,0,0.0,0.003026754232573481,0.5845736378194534,58.598763016753196,1.2,0.02187419999972917,7.442217309971966e-06,{'optimal': 96},PASS,True,1.6755970000231173
2017-01-01,infrared,heatwave_dr,41,{},247.65967128435693,0.006053508465146962,0.00012723289623068937,1.0973337715123311e-07,6.364936812849005,0.0,254.0306616056711,254.0306616056711,0.5,0.0,0,0.0,0.003026754232573481,0.5747971267414863,58.598763016753196,1.2,0.022200799990969244,7.442217309971966e-06,{'optimal': 96},PASS,True,1.863700499990955
2017-01-01,full_mean,ordinary,41,{},247.65284970583696,0.0,0.00012723289623068937,8.689328914975693e-08,6.364251610208961,0.0,254.0171013160459,254.0171013160459,0.5,0.0,0,0.0,0.0,0.07801620672399102,48.703031672848994,1.2000000000000002,0.021559274988248944,8.881784197001252e-16,{'optimal': 96},PASS,True,1.5736674999934621
2017-01-01,full_mean,ordinary,73,{},247.6532932727979,0.0,0.00012723289623068937,8.676991314022137e-08,6.364247908928675,0.0,254.01754118172659,254.01754118172659,0.5,0.0,0,0.0,0.0,0.06369461916910216,48.69518070863482,1.2000000000000002,0.026882550002483185,8.881784197001252e-16,{'optimal': 96},PASS,True,1.8527260999835562
2017-01-01,full_mean,heatwave_dr,41,{},247.65864155139693,0.0014728148061884383,0.00012723289623068937,1.1186102388178253e-07,6.365000642250922,0.0,254.02511500845404,254.02511500845404,0.5,0.0,0,0.0,0.0007364074030942191,0.07712448695892381,58.714278739195464,1.2000000000000002,0.02261387500038836,6.8986616303945425e-06,{'optimal': 96},PASS,True,1.9188495999842416
